date,tmin,tmax,prcp,snow,snwd,awnd
9/28/19,71,94,0,0,0,7.61
3/28/18,43,76,0,0,0,10.74
10/5/19,58,68,0,0,0,8.72
4/2/18,51,81,0,0,0,9.84
10/6/19,57,82,0,0,0,4.47
4/5/18,34,61,0,0,0,3.58
10/21/19,50,74,0,0,0,4.47
4/7/18,33,62,0.99,0,0,8.05
10/23/19,44,69,0,0,0,2.24
4/17/18,33,62,0,0,0,9.4
10/25/19,52,75,0,0,0,1.12
4/29/18,44,66,0,0,0,5.82
10/26/19,53,79,0,0,0,6.04
4/30/18,36,72,0,0,0,4.03
11/2/19,36,62,0,0,0,1.12
5/10/18,59,87,0.18,0,0,9.17
11/4/19,33,64,0,0,0,2.24
5/15/18,69,88,0.02,0,0,8.72
11/8/19,33,58,0.1,0,0,7.61
5/16/18,68,85,0.76,0,0,6.71
11/9/19,27,52,0,0,0,2.68
5/19/18,69,75,0.59,0,0,8.5
11/10/19,29,65,0,0,0,5.82
5/31/18,71,88,0,0,0,7.16
11/12/19,29,56,0.94,0,0,6.71
6/4/18,64,85,0,0,0,5.59
11/21/19,31,59,0,0,0,3.58
6/9/18,68,89,0,0,0,2.68
11/28/19,41,59,0,0,0,7.16
6/19/18,73,96,0,0,0,5.59
11/29/19,33,56,0,0,0,1.12
6/22/18,71,95,0,0,0,6.04
12/2/19,38,50,0,0,0,7.83
6/23/18,74,92,0.18,0,0,8.72
12/3/19,35,51,0,0,0,5.14
6/27/18,65,86,0,0,0,3.58
12/4/19,33,57,0,0,0,4.7
6/29/18,70,92,0,0,0,4.25
12/21/19,30,49,0,0,0,2.01
7/3/18,75,95,0,0,0,6.49
1/3/20,46,58,1.53,0,0,3.58
7/11/18,67,96,0.05,0,0,3.8
1/5/20,37,51,0,0,0,7.61
7/12/18,72,87,0.01,0,0,7.61
1/16/20,46,64,0,0,0,7.83
8/5/18,72,93,0,0,0,3.36
1/19/20,32,56,0.01,0,0,9.17
8/11/18,72,91,0.04,0,0,4.47
1/23/20,25,49,0,0,0,4.7
8/17/18,73,91,0,0,0,9.62
1/27/20,31,54,0.12,0,0,2.68
8/23/18,60,80,0,0,0,5.14
1/28/20,34,53,0,0,0,2.24
8/28/18,71,94,0,0,0,6.04
1/31/20,28,47,0.6,0,0,4.47
8/30/18,73,95,0,0,0,6.49
2/9/20,31,54,0,0,0,4.7
9/1/18,71,93,0.19,0,0,4.92
2/13/20,50,69,0.57,0,0,11.41
9/12/18,72,88,0.13,0,0,5.14
2/16/20,31,55,0.05,0,0,3.58
9/17/18,72,88,1.32,0,0,11.63
2/24/20,46,54,0.18,0,0,6.93
9/21/18,70,83,0,0,0,4.92
2/27/20,36,50,0,0,0,9.4
9/23/18,64,76,0,0,0,5.37
3/4/20,47,60,0,0,0,5.82
9/24/18,64,74,0,0,0,5.82
3/7/20,34,54,0,0,0,5.82
9/29/18,60,82,0,0,0,3.36
3/13/20,63,75,0.07,0,0,8.95
10/2/18,61,83,0,0,0,3.8
3/16/20,42,59,0,0,0,4.47
10/5/18,68,90,0,0,0,3.8
3/21/20,50,73,0.07,0,0,6.26
10/6/18,68,82,0,0,0,3.58
3/28/20,62,89,0,0,0,7.16
10/19/18,39,69,0,0,0,3.13
4/1/20,44,59,0,0,0,6.04
10/28/18,42,64,0,0,0,8.5
4/2/20,41,66,0,0,0,5.37
10/31/18,42,72,0,0,0,8.5
4/3/20,41,72,0,0,0,5.14
11/3/18,39,61,0,0,0,5.82
4/7/20,51,84,0,0,0,6.04
11/7/18,49,73,0,0,0,1.34
4/11/20,32,67,0,0,0,4.47
11/11/18,28,51,0,0,0,4.03
4/17/20,35,73,0,0,0,10.51
11/17/18,33,59,0,0,0,1.57
4/26/20,51,74,0.26,0,0,7.16
11/30/18,42,68,0.02,0,0,8.72
4/27/20,44,69,0,0,0,6.26
12/21/18,46,65,0.04,0,0,14.99
4/30/20,55,69,1.67,0,0,8.72
12/24/18,29,51,0,0,0,4.03
5/6/20,49,72,0,0,0,6.93
12/27/18,29,54,0.02,0,0,5.14
5/9/20,39,63,0,0,0,5.14
12/31/18,47,67,0.13,0,0,8.05
5/11/20,46,67,0,0,0,8.5
1/1/19,51,71,0,0,0,7.38
5/12/20,38,65,0,0,0,3.8
1/3/19,47,55,0.21,0,0,2.68
5/26/20,66,79,0,0,0,6.93
1/8/19,46,67,0,0,0,9.17
5/31/20,57,77,0,0,0,6.71
1/13/19,32,37,1.04,0,0,7.38
6/2/20,55,85,0,0,0,11.18
1/15/19,28,47,0,0,0,1.34
6/4/20,71,92,0,0,0,10.29
1/19/19,37,59,0,0,0,8.05
6/7/20,69,88,0,0,0,5.37
1/23/19,31,64,0.04,0,0,7.83
6/13/20,63,83,0,0,0,7.16
2/6/19,47,77,0,0,0,7.16
6/15/20,58,65,0.77,0,0,9.84
2/8/19,45,75,0,0,0,9.17
6/16/20,59,62,0.52,0,0,11.18
2/27/19,40,50,0.29,0,0,3.13
6/26/20,63,89,0,0,0,2.91
2/28/19,42,62,0,0,0,5.82
7/3/20,66,94,0,0,0,2.24
3/7/19,23,50,0,0,0,2.46
7/4/20,68,94,0.07,0,0,3.36
3/8/19,39,49,0.1,0,0,4.7
7/10/20,71,95,0.25,0,0,4.7
3/22/19,42,63,0,0,0,9.4
